"PaperTitle"	"Year"	"EstimatedCitation"	"Location"	"Longitude"	"Latitude"	"CitationCount"
"magnetoenterography for detection of intestinal ischemia in rabbits"	1995	0	"Montreal, Canada"	-73.55468	45.5124	0
"in vivo diffusion tensor imaging of chronic spinal cord compression in rat model"	2009	19	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	19
"effect of hesperidin extraction on the bone marrow polychromatophilic erythroblast micronucleus of exercise fatigue"	2011	1	"Shanghai, China"	121.4747	31.25516	1
"role of angiopoietins ang 1 and ang 2 for the development of acute lung injury in pneumococcal pneumonia"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"computerized image analysis as a tool to investigate the relationship between endothelial morphology and permeability"	2009	0	"Albuquerque, NM, USA"	-106.649048	35.08423	0
"automated evaluation of her 2 neu immunohistochemical expression in breast cancer using digital microscopy"	2008	13	"Paris, France"	2.339754	48.8631859	13
"multi modal measurement of the myelin to axon diameter g ratio in preterm born neonates and adult controls"	2014	12	"Boston"	-71.05674	42.35866	12
"three dimensional reconstruction of serial histological mouse brain sections"	2008	12	"Paris, France"	2.339754	48.8631859	12
"experimental study of histotripsy in ex vivo bovine liver tissue exposed to pulsed high intensity focused ultrasound"	2012	1	"Chongqing, China"	106.519348	29.55095	1
"a novel shape based diagnostic approach for early diagnosis of lung nodules"	2011	14	"Chicago, IL, USA"	-87.63245	41.88425	14
"monte carlo simulation to determine conditions for optical molecular imaging of vascular disease"	2008	0	"Paris, France"	2.339754	48.8631859	0
"experimental study on ultrasonic thermal chemotherapy for tumor treatment"	2005	1	"Shanghai, China"	121.4747	31.25516	1
"targeting brain gliomas energy metabolism for classification purposes"	2010	2	"Thessaloniki, Greece"	22.93707	40.63955	2
"confocal microscopy of skin cancers translational advances toward clinical utility"	2009	15	"Minneapolis, Minnesota, USA"	-93.26494	44.97902	15
"measurement of bioimpedance and cell viability during ischemia reperfusion in the rat liver"	2005	6	"Shanghai, China"	121.4747	31.25516	6
"blood hemolysis of implantable artificial lung"	2008	0	"Sanya, Hainan, China"	109.5007	18.2823486	0
"mapping abnormal subcortical brain morphometry in an elderly hiv cohort"	2015	2	"New York"	-74.00712	40.71455	2
"poloxamer 188 facilitates the repair of alveolus resident cells in ventilator injured lungs"	2011	24	"Denver, Colorado"	-104.989174	39.73715	24
"multiple reaction analysis of cancer with different markers using silicon nanowire fet"	2013	1	"Osaka, Japan"	135.5016	34.68714	1
"raman spectroscopy and fluorescence for the detection of liver cancer and abnormal liver tissue"	2004	7	"San Francisco, California, USA "	-122.429047	37.77986	7
"analysis of spatial variation of nuclear morphology in tissue microenvironments"	2010	2	"Rotterdam, The Netherlands"	4.488615	51.98959	2
"hyperspectral imaging and diagnosis of intestinal ischemia"	2008	16	"Vancouver, BC, Canada"	-123.113358	49.26038	16
"signal pathway in sinusitis polyps and normal nasal mucosa through bioinformatics analysis on differentially expressed proteins"	2009	1	"Tianjin, China"	117.200829	39.08349	1
"an explanation of and cure for minimax pathology"	1986	10	"Philadelphia, PA, USA"	-75.16245	39.95228	10
"mathematical models of tumor growth using voronoi tessellations in pathology slides of kidney cancer"	2015	9	"Milan, Italy"	9.18109	45.46888	9
"soluble triggering receptor expressed on myeloid cells and the diagnosis of pneumonia in lung transplant patients"	2009	0	"San Diego, California"	-117.1625	32.715	0
"infant pulmonary function testing in children with neuroendocrine cell hyperplasia with and without lung biopsy"	2009	12	"San Diego, California"	-117.1625	32.715	12
"the role of clara cell in bleomycin induced pulmonary fibrosis in mice"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"ciliary function in the native airway and transplanted lungs in paediatric cystic fibrosis lung transplant recipients"	2009	0	"San Diego, California"	-117.1625	32.715	0
"clinical manifestations and impact of human metapneumovirus in healthy adults a retrospective analysis of 28 patients over 2 years"	2011	2	"Denver, Colorado"	-104.989174	39.73715	2
"responses of lung cells after realistic exposure to primary and secondary carbonaceous aerosols"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"evaluation of candidate genes implicated in submucosal gland hyperplasia hypertrophy in the sinus mucosa of chronic rhinosinusitis patients with or without cystic fibrosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"whole lung quantitative morphology improves the analysis of animal models of heterogeneous lung disease"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"proposed classification of probe based confocal laser endomicroscopy pcle findings for evaluation of indeterminate peripheral lung nodules"	2011	2	"Denver, Colorado"	-104.989174	39.73715	2
"mechanisms of fluticasone proprionate mediated protection against il 13 4 induced pathology in normal and asthmatic primary human bronchial epithelium"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"the diagnostic pathway to sarcoidosis factors associated with the delay in diagnosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"intra alveolar hemorrhage and free hemoglobin are associated with lipid peroxidation in acute lung injury"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"increased bronchoalveolar lavage eosinophils in pulmonary schistosomiasis"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"increased deposition of activated complement in peripheral lung vessels of smokers"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"genetic disruption of jun ap 1 transcription factor in airways deregulates cigarette smoke induced acute lung inflammation in mice"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"vitronectin is expressed by submucosal gland cells in the human airways"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"mrsa in adult cystic fibrosis prevalence and patterns of growth in ireland"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"possible aggravating agents of pulmonary fibrosis the pathologic findings in the explanted lungs of a new york city firefighter exposed to world trade center dust"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"assesment of egfr mutation and gene amplification by endobronchial ultrasound guided transbronchial needle aspiration"	2009	2	"San Diego, California"	-117.1625	32.715	2
"inhaled nickel nanoparticles induce systemic inflammation and accelerate atherosclerotic plaque formation in apoprotein e apoe knockout mice"	2009	0	"San Diego, California"	-117.1625	32.715	0
"interstitial lung disease in systemic sclerosis a comparison between limited cutaneus systemic sclerosis and diffuse cutaneus systemic sclerosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"familial interstitial pneumonia fip is similar pathologically to idiopathic interstitial pneumonia"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"investigation of central cough mechanisms using functional magnetic resonance imaging representation of citric acid evoked urge to cough in the human brain"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"synchrotron micro ct imaging of olfactory bulb in rats exposed gold nanoparticles by inhalation"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"isolated lung metastasis from superficial papillary carcinoma of the bladder"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"chronic stage of bleomycin and paraquat mediated pulmonary fibrosis is il 17 and collagen v independent"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pulmonary hyalinizing granuloma a case of progressive hypoxemic respiratory failure despite aggressive immunomodulatory therapy"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"osteopontin silencing by small interfering rna sirna suppresses proliferation migration and invasion in lung vascular fibroblasts from neonatal calves with pulmonary hypertension"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"characterization of the proteasome in normal and copd diseased lungs"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"pathologic matrix stiffening promotes cyclooxygenase cox 2 dependent mechanobiological feedback amplification of vascular remodeling in pulmonary arterial hypertension"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"radiographic usual interstitial pneumonia uip pattern and survival in rheumatoid arthritis associated interstitial lung disease raild"	2009	1	"San Diego, California"	-117.1625	32.715	1
"quantification of regional lung microstructure response to positive end expiratory pressure by hyperpolarized gas mri in surfactant deficient rats"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"clinicopathologic characteristics of lung cancer occurred in combined pulmonary fibrosis and emphysema cpfe"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"chemotherapeutic agent increase the risk for pulmonary function test abnormalities pre transplant in multiple myeloma patients"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"effects of th2 pulmonary inflammation in mice with bleomycin induced pulmonary fibrosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"quantitative analysis of pulmonary cysts on thin section ct of the chest differentiates birt hogg dube syndrome and lymphangioleiomyomatosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"3d glandular in vitro models to investigate mechanisms of glandular hyperplasia in respiratory tract diseases"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"role of inducible bronchus associated lymphoid tissue ibalt in allergic airway disease"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"extracellular matrix components within airway smooth muscle in asthma histopathology and airway function"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"bronchoalveolar lavage bal fluid from asthmatic patients and lipopolysaccharide activate the endoplasmic reticulum stress response in primary human bronchial smooth muscle cells"	2012	1	"San Francisco, California"	-122.429047	37.77986	1
"alveolo vascular alterations in a mouse model of tobacco smoke inhalation"	2009	0	"San Diego, California"	-117.1625	32.715	0
"quantitative rt pcr analysis of tnfα tgfβ1 and α 1 pro collagen gene expression in primary lung fibroblasts and a cell line to develop standard curves and prognostic values"	2009	0	"San Diego, California"	-117.1625	32.715	0
"airway epithelium proteome dynamics and swine confinement facility dust induced oxidative stress"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"diffuse inflammatory bronchial polyposis in asthma recognition on imaging and treatment with yag laser"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"frequency of time cycled control breaths during biphasic positive airway pressure modifies the expression of lung inflammatory and fibrogenic mediators in pulmonary and extrapulmonary acute lung injury"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"the pathogenesis of chronic asthma due to development of a new hyperreactive airway smooth muscle cell phenotype"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"pulmonary tuberculosis presenting as solitary pulmonary nodule in hiv infected patient a diagnostic dilemma in non endemic area"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"aerosolized gm csf therapy of pulmonary alveolar proteinosis pap"	2009	0	"San Diego, California"	-117.1625	32.715	0
"flcn mutation and clinical manifestations of patients with birt hogg dub syndrome whose presenting feature was pnuemothrax and or multiple lung cysts"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"idiopathic bronchiolocentric interstitial pneumonia"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"spontaneous lung herniation"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"deficiency of murine matrix metalloproteinase 13 increases inflammation after acute lung injury"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"clinical features and prognosis of lung cancer in patients with interstitial pneumonia"	2009	0	"San Diego, California"	-117.1625	32.715	0
"clinical physiologic and radiographic comparison of patients with undifferentiated connective tissue disease ild and scleroderma ild"	2009	0	"San Diego, California"	-117.1625	32.715	0
"the diagnostic value of serum level of surfactant protein d for the degree of fibrosis after bleomycin induced lung injury in mouse"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"leukotrienes and airway epithelial mesenchymal transition implications in bronchiolitis obliterans"	2009	0	"San Diego, California"	-117.1625	32.715	0
"granulomatous inflammation found in lung nodules by fna etiology and outcome"	2009	0	"San Diego, California"	-117.1625	32.715	0
"a sherlock holmes s eye requested in the diagnosis of interstitial lung disease"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"response of bronchial smooth muscle cells and interaction with airway epithelial cells to intermittent hypoxia"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"ip 10 induction by lps stimulation is compromised in cystic fibrosis bronchial epithelial cells"	2009	0	"San Diego, California"	-117.1625	32.715	0
"ozone inhalation is associated with inflammation m1 macrophage polarization and altered lung functioning"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"effects of intravascular volume replacement on lung function and damage in non septic experimental lung injury"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"respective roles of bronchial aspirate real time pcr and whole blood interferon gamma release assay in the rapid diagnosis of smear negative pulmonary tuberculosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"genome wide association studies of longitudinal change in lung function and ct emphysema in the eclipse study"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"gene expression profiling in peripheral blood mononuclear cells correlates chuvash polycythemia progression to pulmonary hypertension"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"sirt1 protects against lung endothelial cell dysfunction following particulate matter exposure"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"a novel mouse model of fibrotic interstitial lung disease that mirrors the age and gender bias of human disease"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"comparison of plasma circulating free dna levels in patients with lung cancer benign lung diseases and healthy controls"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"expression of heme oxygenase 1 in acute fibrinous and organizing pneumonia patients"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"a case of multi organ langerhans cell histiocytosis responsive to tobacco cessation"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"increased expression of pulmonary surfactant protein a in chronic hypersensitivity pneumonitis with usual interstitial pneumonia pattern"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"immunophenotyping in pulmonary and extra pulmonary sarcoidosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"patients with tuberculous pleural effusion with and without parenchymal lung lesions comparisons of positive rates of afb cultures and drug sensitivity test"	2009	0	"San Diego, California"	-117.1625	32.715	0
"modulation of distal lung parenchyma mechanics in guinea pigs with chronic pulmonary inflammation submitted to repeated physical stress evaluation of th2 cytokines expression"	2009	0	"San Diego, California"	-117.1625	32.715	0
"low nasal nitric oxide and ciliary dysmotility in patients with congenital heart disease and heterotaxy the challenge of defining a ciliopathy"	2009	1	"San Diego, California"	-117.1625	32.715	1
"identification of idiopathic pulmonary fibrosis mirna signature from peripheral blood mononuclear cells"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"desquamative interstitial pneumonia dip as a disorder of chronic pulmonary gm csf exposure"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"the role of intra tracheal versus systemic delivery of mesenchymal stem cells during recovery and resolution following ventilator induced lung injury"	2012	1	"San Francisco, California"	-122.429047	37.77986	1
"inhibition of mk2 activity protects against bleomycin injured pulmonary fibrosis in mice"	2012	3	"San Francisco, California"	-122.429047	37.77986	3
"smoking accelerates airway epithelial aging smoking dependent decrease in small airway epithelium telomere length"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"systemic and airway biomarkers of inflammation in an elderly panel cohort are related to the potential of airborne particles to generate reactive oxygen species in alveolar macrophage cells in vitro"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"pulmonary metastasis from adenocarcinoma of the bartholin gland after long tumor free survival"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"effect of airway clearance on breath sounds in cystic fibrosis"	2009	0	"San Diego, California"	-117.1625	32.715	0
"correlation of bal interleukin 16 with scleroderma interstitial lung disease activity and response to cyclophosphamide"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"role of arginase2 in tgf beta1 induced pulmonary fibrosis"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"influence of parenchymal heterogeneity on airway parenchymal interdependence"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"exhaled molecular profiles in the diagnosis of cystic fibrosis and primary ciliary dyskinesia"	2012	1	"San Francisco, California"	-122.429047	37.77986	1
"compartmental fat mimicking a respiratory disease"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"toll like receptor 4 signalling in ventilator induced diaphragm atrophy"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"diffuse alveolar hemorrhage in a patient with hepatitis c"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pulmonary alveolar proteinosis pap reproduced in non human primates"	2009	3	"San Diego, California"	-117.1625	32.715	3
"use of circulating tumor cell technology cellsearch for the diagnosis of malignant pleural effusions"	2012	1	"San Francisco, California"	-122.429047	37.77986	1
"cyclophosphamide treatment versus placebo in scleroderma lung study using total quantitative score of fibrosis ground glass opacity and honeycomb"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"visualization of dilated bronchial arteries using contrast enhanced magnetic resonance angiography in cystic fibrosis patients correlation to parenchymal lung changes"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"resolution of experimental lung injury delayed by sustained expression of alveolar macrophage cd86"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"non destructive morphometric assessment of murine acinus via hi res microct"	2009	0	"San Diego, California"	-117.1625	32.715	0
"embryonic mesodermal origin of lung resident mesenchymal stem cells lr mscs and their role in lung repair and fibrosis"	2010	3	"New Orleans, Louisiana"	-90.07775	29.9537	3
"inter and intra lobe heterogeneity of parenchymal destruction in the mouse lung following elastase treatment"	2009	0	"San Diego, California"	-117.1625	32.715	0
"chronic residual oil fly ash rofa instillation induces lung remodeling inflammation and responsiveness in c57bl 6 j mice"	2009	0	"San Diego, California"	-117.1625	32.715	0
"the expression of long intergenic noncoding rnas in idiopathic pulmonary fibrosis and their possible role as suppressors of proliferation"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"is hypersensitivity pneumonitis a pulmonary manifestation of an underlying systemic connective tissue disease ctd"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"role of vascular endothelial growth factor vegf in the phagocytosis of apoptotic cells by macrophages implications in obstructive airways disease"	2009	0	"San Diego, California"	-117.1625	32.715	0
"expression of sulf1 and sulf2 in idiopathic pulmonary fibrosis"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"68ga labeled tnf for localization of experimental ventilator induced lung inflammation"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"the development of the king s fibrosis questionnaire kfq for patients with idiopathic pulmonary fibrosis ipf and other interstitial lung diseases ild s"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"pulmonary lymphangiogenesis quantified following bleomycin lung injury"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"seldi tof derived serum biomarkers failed to differentiate between patients with beryllium sensitization and chronic beryllium disease"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"relationship between tidal and nasal nitirc oxide in unified airways disease"	2009	0	"San Diego, California"	-117.1625	32.715	0
"interobserver variability in the diagnosis of bronchioloalveolar carcinoma and quantitative measures in mixed type pulmonary adenocarcinoma a pilot study"	2009	0	"San Diego, California"	-117.1625	32.715	0
"characterization of chitinase activity and ykl 40 expression in induced sputum from asthmatics correlations with inflammation and cell viability and gene expression"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"a case of mistaken identity haematological malignancy in the lung"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"tissue factor expression in lung endothelium"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"peripheral blood genomic signatures in familial interstitial pneumonia fip"	2009	0	"San Diego, California"	-117.1625	32.715	0
"expression of plateled derived growth factor receptor β pdgfr β and epidermal gfr egfr in pulmonary vasculature of systemic sclerosis associated pulmonary arterial hypertension sscph vs idiopathic ph iph and pulmonary veno occlusive disease pvod"	2009	0	"San Diego, California"	-117.1625	32.715	0
"intensive whole lung lavage therapy for intractable pulmonary alveolar proteinosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"role of proteoglycan betaglycan in pulmonary fibrosis"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"proteomics analysis of lung nuclear proteins in chronic obstructive pulmonary disease"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"expression profile of inflammation and fibrosis mediators in tissue specimens from cutaneous sarcoid lesions csl"	2009	0	"San Diego, California"	-117.1625	32.715	0
"trefoil factor 2 correlates with antioxidant gene expression and airway inflammation in nasal epithelium of asthmatics"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"determinants of latency periods of lung cancer lc and malignant mesothelioma mm in former workers and residents exposed to crocidolite at wittenoom western australia"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"lung dominant connective tissue disease a single center experience"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"human pulmonary artery endothelial cell exposure to fibrin ogen augments intracellular calcium responses to thrombin"	2011	1	"Denver, Colorado"	-104.989174	39.73715	1
"alteration in decorin and versican in the lung extra cellular matrix in centrilobular emphysema"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"towards a mechanical biomarker for successful therapy with helium oxygen mixtures"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"pepsin in gastric fluid promotes epithelial mesenchymal transformation implications for understanding the role of reflux in pulmonary fibrosis"	2009	6	"San Diego, California"	-117.1625	32.715	6
"transepithelial electrolyte and fluid transport in type ii alveolar epithelia in a porcine model of cystic fibrosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"imaging the dynamics and interactions of granulocytes and dendritic cells in acute allergic airway inflammation by two photon microscopy"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"diagnostic performance of serum vegf d in distinguishing lone lymphangioleiomyomatosis lam from lam mimics"	2009	0	"San Diego, California"	-117.1625	32.715	0
"skeletal muscle atrophy in acute lung injury differing mechanisms for wasting both during and after lung injury"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"combined exposure to nicotine and respiratory virus causes neurogenic inflammation via neurotrophin mediated mechanism"	2009	0	"San Diego, California"	-117.1625	32.715	0
"role of endoplasmic reticulum stress in the pathogenesis of acute exacerbations of pulmonary fibrosis"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"correlation between serum cea and pulmonary function in korean adult population"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"acrylic and platinum in my lung helped me live longer"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"buccal methylation signature differences between lung cancer cases and noncases"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"hypoxia upregulates stim2 orai2 in rat pulmonary artery smooth muscle cells"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"lynx1 modulates communication between nicotinic and gabaergic signaling in airway epithelium a new way to target smoking induced lung disease"	2010	1	"New Orleans, Louisiana"	-90.07775	29.9537	1
"co culture of fibrocytes with airway smooth muscle effects fibrocyte phenotype and composition of the extracellular milieu"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"pulmonary lymphomatoid granulomatosis associated with mercaptopurine"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"estradiol induced alterations of the extracellular matrix and activation of matrix metalloproteinase 2 are associated with the lung metastasis of tuberin null cells in a xenograft model of lymphangioleiomyomatosis lam"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"rat bone marrow derived mesenchymal stem cells can differentiate and potentially contribute to airway remodeling following serotonin stimulation"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"primary sarcomatoid carcinoma giant cell of the lung surgically treated two consecutive patients aged 35 and 70 years"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"pharmacological characterization of the late phase reduction in forced vital capacity fvc in allergen challenged brown norway rats correlations with lung edema"	2011	0	"Denver, Colorado"	-104.989174	39.73715	0
"chronic eosinophilic pneumonia presenting as diffuse micronodular opacities"	2012	0	"San Francisco, California"	-122.429047	37.77986	0
"the contribution of c3 to allograft hypoxia and perfusion in murine model of orthotopic tracheal transplantation"	2010	0	"New Orleans, Louisiana"	-90.07775	29.9537	0
"fast lossless compression of whole slide pathology images using hevc intra prediction"	2016	1	"Shanghai, China"	121.4747	31.25516	1
"regression analysis for assessment of myelination status in preterm brains with magnetic resonance imaging"	2016	3	"Prague, Czech Republic"	14.4658461	50.0668	3
"image normalization for quantitative immunohistochemistry in digital pathology"	2016	2	"Prague, Czech Republic"	14.4658461	50.0668	2
"three dimensional data analytics for pathology imaging"	2015	0	"Kohala Coast, Hawaii, USA"	-155.518555	19.5985165	0
"image classification of unlabeled malaria parasites in red blood cells"	2016	9	"Orlando, FL, USA"	-81.37739	28.53823	9
"localized mri and histological image correlation in a canine model of duchenne muscular dystrophy"	2016	4	"Orlando, FL, USA"	-81.37739	28.53823	4
"pathology in public service or low due to lack of knowledge and skills of executive officers of the various operational activities"	2016	0	"Melbourne, Australia"	144.967148	-37.81753	0
"generative method to discover emphysema subtypes with unsupervised learning using lung macroscopic patterns lmps the mesa copd study"	2017	6	"Melbourne, Australia"	144.967148	-37.81753	6
